tweet_id,disaster_type,Event type,Relevance
'591962510221127681',Earthquake,admiration,Not Relevant
'592625864073875456',Earthquake,admiration,Not Relevant
'591973557841698816',Earthquake,appreciation,Not Relevant
'591997640159547392',Earthquake,appreciation,Not Relevant
'591966530973216768',Earthquake,appreciation,Not Relevant
'591985810066440192',Earthquake,appreciation,Not Relevant
'591987807058599936',Earthquake,appreciation,Not Relevant
9.01E+17,Hurricane,appreciation,Not Relevant
'592077293662633985',Earthquake,appreciation,Not Relevant
'591997306930483200',Earthquake,appreciation,Not Relevant
'591912918553382912',Earthquake,appreciation,Not Relevant
'591999314844454912',Earthquake,appreciation,Not Relevant
'591961172154327041',Earthquake,appreciation,Not Relevant
'591961072296333312',Earthquake,appreciation,Not Relevant
9.01E+17,Hurricane,appreciation,Not Relevant
'591914179340042240',Earthquake,appreciation,Not Relevant
221935021,Hurricane,appreciation,Not Relevant
9.01E+17,Hurricane,appreciation,Not Relevant
'592147127926542337',Earthquake,appreciation,Not Relevant
'592142068375392256',Earthquake,appreciation,Not Relevant
'591998562600366080',Earthquake,appreciation,Not Relevant
'591963241321926658',Earthquake,appreciation,Not Relevant
'592132768915558401',Earthquake,appreciation,Not Relevant
'591915939983020034',Earthquake,appreciation,Not Relevant
'591914982343839745',Earthquake,appreciation,Not Relevant
'592076627544297475',Earthquake,appreciation,Not Relevant
'591918453818167296',Earthquake,appreciation,Not Relevant
'591916167171678211',Earthquake,appreciation,Not Relevant
'592074832159707136',Earthquake,appreciation,Not Relevant
9.01E+17,Hurricane,appreciation,Not Relevant
9.01E+17,Hurricane,appreciation,Not Relevant
'591963569849171969',Earthquake,appreciation,Not Relevant
9.01E+17,Hurricane,appreciation,Not Relevant
'591910046998482944',Earthquake,appreciation,Not Relevant
'592069095568343040',Earthquake,appreciation,Not Relevant
221935093,Hurricane,appreciation,Not Relevant
221934982,Hurricane,appreciation,Not Relevant
'592069630673293313',Earthquake,appreciation,Not Relevant
'592073720690298881',Earthquake,appreciation,Not Relevant
'592071001934008320',Earthquake,appreciation,Not Relevant
'591910753151557632',Earthquake,appreciation,Not Relevant
9.01E+17,Hurricane,appreciation,Not Relevant
'592067774085787650',Earthquake,appreciation,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
'591919523013341184',Earthquake,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
'591911803459768321',Earthquake,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
9.01E+17,Hurricane,business,Not Relevant
221934962,Hurricane,business,Not Relevant
'591916240429568000',Earthquake,damage,Not Relevant
9.01E+17,Hurricane,damage,Not Relevant
'591906534805938176',Earthquake,damage,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591911005342404608',Earthquake,empathy,Not Relevant
'592074926355566592',Earthquake,empathy,Not Relevant
'591994276688568320',Earthquake,empathy,Not Relevant
'592075045465419776',Earthquake,empathy,Not Relevant
'592068286076030976',Earthquake,empathy,Not Relevant
'592125098879909888',Earthquake,empathy,Not Relevant
'591963378945523712',Earthquake,empathy,Not Relevant
'592083036944097280',Earthquake,empathy,Not Relevant
'591914620530532352',Earthquake,empathy,Not Relevant
'592129640740818945',Earthquake,empathy,Not Relevant
'591992376144592896',Earthquake,empathy,Not Relevant
'591966439646466049',Earthquake,empathy,Not Relevant
'591919227159752704',Earthquake,empathy,Not Relevant
'591963050871300096',Earthquake,empathy,Not Relevant
'591906395106234368',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592089399812333568',Earthquake,empathy,Not Relevant
'591998216524197890',Earthquake,empathy,Not Relevant
'591963979955740673',Earthquake,empathy,Not Relevant
'592076037804072960',Earthquake,empathy,Not Relevant
221934978,Hurricane,empathy,Not Relevant
'591914946457260032',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591905456597106689',Earthquake,empathy,Not Relevant
'592069560213221376',Earthquake,empathy,Not Relevant
'592069337529372672',Earthquake,empathy,Not Relevant
