tweet_id,disaster_type,Event type,Relevance,urgency
'591908028993114113',Earthquake,casualty,Relevant,Urgent
'592088612369465344',Earthquake,casualty,Relevant,Urgent
'592087363439894530',Earthquake,casualty,Relevant,Urgent
'592125393542381568',Earthquake,casualty,Relevant,Urgent
'591913071217549312',Earthquake,casualty,Relevant,Urgent
'592084963857702912',Earthquake,casualty,Relevant,Urgent
'591911437947248640',Earthquake,casualty,Relevant,Urgent
'591944612203266049',Earthquake,casualty,Relevant,Urgent
'591908835264221184',Earthquake,casualty,Relevant,Urgent
'591915739889606657',Earthquake,casualty,Relevant,Urgent
221934974,Hurricane,casualty,Relevant,Urgent
'591915135389700096',Earthquake,casualty,Relevant,Urgent
221934924,Hurricane,casualty,Relevant,Urgent
'591918981474164737',Earthquake,casualty,Relevant,Urgent
221934952,Hurricane,casualty,Relevant,Urgent
'591912029801197568',Earthquake,casualty,Relevant,Urgent
221934981,Hurricane,casualty,Relevant,Urgent
'591915225881935872',Earthquake,casualty,Relevant,Urgent
'591921539412414464',Earthquake,casualty,Relevant,Urgent
'591963794487771136',Earthquake,casualty,Relevant,Urgent
'591912673798987776',Earthquake,casualty,Relevant,Urgent
'591907778077134848',Earthquake,casualty,Relevant,Urgent
221934995,Hurricane,casualty,Relevant,Urgent
221935047,Hurricane,casualty,Relevant,Urgent
'591919753154928642',Earthquake,casualty,Relevant,Urgent
'591908557815095296',Earthquake,casualty,Relevant,Urgent
221935009,Hurricane,casualty,Relevant,Urgent
'591910288510812160',Earthquake,casualty,Relevant,Urgent
'592102551597621248',Earthquake,casualty,Relevant,Urgent
'591912745919848448',Earthquake,casualty,Relevant,Urgent
'591912766279012353',Earthquake,casualty,Relevant,Urgent
'591913270044274688',Earthquake,casualty,Relevant,Urgent
'592076091541430272',Earthquake,casualty,Relevant,Urgent
'592077183058845697',Earthquake,casualty,Relevant,Urgent
'591911855339085824',Earthquake,casualty,Relevant,Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
'591912097186975745',Earthquake,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,climate and environmental issues,Relevant,Not Urgent
9.01E+17,Hurricane,communication,Relevant,Urgent
'591907150252748800',Earthquake,communication,Relevant,Urgent
'591911075869696000',Earthquake,communication,Relevant,Urgent
9.01E+17,Hurricane,communication,Relevant,Urgent
'591969327101911042',Earthquake,communication,Relevant,Urgent
221934929,Hurricane,communication,Relevant,Urgent
'591911201270956032',Earthquake,communication,Relevant,Urgent
'592088795274616832',Earthquake,communication,Relevant,Urgent
221934937,Hurricane,communication,Relevant,Urgent
'591990694153031682',Earthquake,communication,Relevant,Urgent
'592150813050609665',Earthquake,communication,Relevant,Urgent
'591911682680737792',Earthquake,communication,Relevant,Urgent
'591906772752867328',Earthquake,communication,Relevant,Urgent
'591911419869691904',Earthquake,communication,Relevant,Urgent
'591907059559464962',Earthquake,communication,Relevant,Urgent
'591990388103122946',Earthquake,communication,Relevant,Urgent
'591909033579188224',Earthquake,communication,Relevant,Urgent
9.01E+17,Hurricane,communication,Relevant,Urgent
'591916018525581312',Earthquake,communication,Relevant,Urgent
9.01E+17,Hurricane,communication,Relevant,Urgent
'591906354945634304',Earthquake,communication,Relevant,Urgent
9.01E+17,Hurricane,communication,Relevant,Urgent
9.01E+17,Hurricane,communication,Relevant,Urgent
'591910812425424896',Earthquake,communication,Relevant,Urgent
'591918755069865984',Earthquake,communication,Relevant,Urgent
'591967031056039937',Earthquake,communication,Relevant,Urgent
'591997563298918400',Earthquake,communication,Relevant,Urgent
'591907359728926722',Earthquake,communication,Relevant,Urgent
'591919267961905152',Earthquake,communication,Relevant,Urgent
'591909140508909569',Earthquake,communication,Relevant,Urgent
'591912625904058368',Earthquake,communication,Relevant,Urgent
'591907839355957248',Earthquake,communication,Relevant,Urgent
'592088273461317632',Earthquake,communication,Relevant,Urgent
'592075984662339584',Earthquake,communication,Relevant,Urgent
'592076672075223040',Earthquake,communication,Relevant,Urgent
'591918563209842688',Earthquake,communication,Relevant,Urgent
'591910973562195968',Earthquake,communication,Relevant,Urgent
'591963016414924801',Earthquake,communication,Relevant,Urgent
'592075662996992000',Earthquake,communication,Relevant,Urgent
'591907210315239424',Earthquake,communication,Relevant,Urgent
'591910752526663680',Earthquake,communication,Relevant,Urgent
'592102247942770688',Earthquake,communication,Relevant,Urgent
'592125128890314753',Earthquake,communication,Relevant,Urgent
'592077463385219072',Earthquake,communication,Relevant,Urgent
'592084589964845056',Earthquake,communication,Relevant,Urgent
'592072847159402496',Earthquake,communication,Relevant,Urgent
'592128964606341120',Earthquake,communication,Relevant,Urgent
'592073206120390656',Earthquake,communication,Relevant,Urgent
'592072745044844544',Earthquake,communication,Relevant,Urgent
'591912430130765825',Earthquake,communication,Relevant,Urgent
'591914387906101248',Earthquake,communication,Relevant,Urgent
'592110084743950336',Earthquake,communication,Relevant,Urgent
221934958,Hurricane,communication,Relevant,Urgent
221934948,Hurricane,communication,Relevant,Urgent
9.01E+17,Hurricane,communication,Relevant,Urgent
'592070148607062017',Earthquake,communication,Relevant,Urgent
'592121228397154304',Earthquake,communication,Relevant,Urgent
'591916211459395584',Earthquake,damage,Relevant,Urgent
'591911659385434112',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'592073527131529217',Earthquake,damage,Relevant,Urgent
'591908305422913536',Earthquake,damage,Relevant,Urgent
'511487208365494272',Hurricane,damage,Relevant,Urgent
'511542815097368576',Hurricane,damage,Relevant,Urgent
'592101074372169729',Earthquake,damage,Relevant,Urgent
'511556052224315392',Hurricane,damage,Relevant,Urgent
'591961183525195777',Earthquake,damage,Relevant,Urgent
221934951,Hurricane,damage,Relevant,Urgent
221935031,Hurricane,damage,Relevant,Urgent
'591914098654326784',Earthquake,damage,Relevant,Urgent
221935083,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
221935039,Hurricane,damage,Relevant,Urgent
'592085693427425281',Earthquake,damage,Relevant,Urgent
'591906212108578816',Earthquake,damage,Relevant,Urgent
221935109,Hurricane,damage,Relevant,Urgent
221935066,Hurricane,damage,Relevant,Urgent
